56,16,8,7.475461
44,11,17,11.927999
52,14,19,10.19554
48,12,15,9.694695
71,23,25,12.610759
65,20,20,13.363549
53,15,16,9.82647
49,13,14,10.640472
62,19,18,3.826427
70,23,17,3.862624
77,28,12,2.948929
78,29,9,3.766258
57,17,44,14.396159
50,13,37,11.3203
35,3,42,1.456977
6,-21,46,1.463106
5,-21,45,9.485389
2,-25,44,13.586879
1,-25,41,12.220855
4,-23,42,13.700638
13,-18,36,14.357504
59,18,33,8.779016
39,8,29,14.253331
63,19,32,7.589356
0,-25,14,13.659714
9,-20,7,14.362603
10,-20,10,14.473328
12,-18,6,14.558892
3,-23,15,1.904802
19,-11,6,11.88311
