7,-20,-32,4.177473
8,-20,-28,8.203223
11,-19,-31,2.364196
14,-16,-13,7.280635
15,-15,-33,12.004207
16,-12,-29,2.128295
17,-12,-23,6.326419
18,-12,-12,13.736033
20,-9,-31,14.392386
28,-4,-31,5.883405
24,-5,-25,14.009899
22,-8,-13,0.535675
21,-9,-10,9.83611
25,-5,-17,10.181027
33,3,-31,4.153845
29,-2,-20,9.832168
26,-5,-12,11.366102
31,1,-21,10.590691
32,1,-19,0.477493
30,0,-17,2.5678
38,8,-25,4.756492
27,-5,-8,11.146987
75,27,-32,13.938954
58,18,-29,5.105786
72,24,-25,3.814233
60,19,-21,3.357179
43,11,-26,11.482752
40,9,-25,0.516691
41,10,-24,6.581165
51,14,-21,4.140376
