381,1,38,8.601702,167.90702,20.90842
203,0,43,-4.333516,121.564936,14.475078
199,-1,42,-8.643556,48.120238,7.792357
198,-1,38,-8.543215,37.763689,9.946822
380,1,20,6.713099,185.383493,19.735575
201,0,26,-2.48212,60.207537,8.001281
202,0,34,3.226877,170.392893,22.0
197,-2,30,4.459104,56.404765,16.122231
196,-3,26,7.97649,177.984945,20.582411
195,-4,30,-8.657046,51.001425,6.174258
193,-6,28,4.082034,167.963676,19.845524
191,-7,38,4.740828,153.520884,20.329431
186,-8,44,8.733333,156.767081,19.653215
183,-9,47,8.733333,106.469987,15.3052
182,-9,44,6.73566,161.202828,20.178804
190,-7,30,2.83339,76.463774,15.792697
194,-4,14,8.669723,149.670865,21.485162
189,-7,16,0.0,63.044938,6.478031
181,-9,34,7.62125,161.022484,21.675419
175,-11,31,2.766279,68.017008,15.670289
180,-10,29,1.731521,138.971833,16.028933
174,-11,26,2.246926,152.219065,17.553308
179,-10,22,0.0,34.797356,8.87237
170,-14,42,2.358215,87.802638,15.691534
171,-13,35,8.733333,167.652512,20.059046
168,-15,22,8.629625,163.615872,16.092579
169,-15,40,-0.0,66.620233,16.497981
166,-17,39,-5.471745,54.749502,10.912213
188,-7,6,0.0,41.913582,13.334768
187,-7,5,-8.586707,35.06981,8.529733
192,-6,1,-7.40066,33.81268,6.40514
185,-8,5,5.615725,183.774119,22.0
178,-10,10,0.167901,100.500427,16.717442
173,-11,13,-0.0,64.058163,15.104887
164,-18,37,7.307552,177.689916,15.172135
165,-18,38,7.093797,161.640103,20.838105
161,-21,43,0.0,58.726697,8.785172
162,-21,37,-0.0,61.036955,16.052979
156,-24,47,8.718658,162.942037,20.382368
158,-23,40,-5.446991,47.295969,4.533412
160,-22,38,0.254636,84.206837,16.541139
159,-22,29,-0.0,77.499677,15.251123
147,-28,46,0.666667,80.170498,12.79403
151,-27,45,3.815,89.608252,15.78683
154,-25,31,0.0,51.125113,7.106909
144,-29,42,0.0,38.427987,10.14063
149,-28,41,4.674038,72.892649,14.879745
143,-29,38,8.570826,156.798038,22.0
148,-28,32,4.666667,100.243326,17.908512
140,-30,33,-5.981207,51.01102,10.592448
141,-30,41,8.428675,175.26078,21.744555
136,-32,36,0.0,47.495177,6.433249
139,-31,34,0.0,116.928261,15.48732
142,-29,30,4.666753,86.223939,14.902132
133,-35,47,7.497105,160.255544,14.403431
135,-34,34,1.120784,73.981629,20.081207
130,-37,42,8.562977,152.254869,16.307198
127,-38,42,8.733333,164.359442,20.472257
129,-37,37,-0.0,74.944574,15.410411
138,-31,25,-8.725196,52.98887,8.142414
137,-31,24,8.646864,158.875633,19.337319
184,-8,3,8.648931,171.86659,17.722396
172,-12,13,4.666667,71.574445,16.110898
177,-10,5,-0.0,89.78038,14.271649
92,-7,-1,-0.0,84.90773,15.763964
176,-10,1,-5.663127,50.953577,3.084003
163,-19,11,8.013386,148.575718,21.612178
167,-16,3,8.636926,165.529783,15.896726
157,-23,8,8.733333,159.324937,3.109393
150,-27,17,-0.0,74.314304,16.405493
122,-41,45,-0.0,86.795956,12.351801
126,-40,42,-5.423772,57.615507,4.500005
121,-41,37,0.0,46.320168,7.438742
134,-34,30,8.731688,147.712084,6.165062
146,-28,13,-4.391589,35.130381,1.419517
153,-26,11,0.0,46.151528,7.66681
114,-43,37,8.733333,164.901592,18.497322
128,-37,24,-0.0,71.552663,16.948567
132,-36,23,-8.663115,44.362169,2.493084
155,-24,5,0.733333,74.932244,12.72651
145,-28,9,1.961229,68.766857,16.721367
107,-46,41,7.865201,160.963929,20.658996
106,-46,39,8.733333,157.488307,22.0
105,-46,38,-0.0,142.331341,13.813892
108,-45,33,8.733333,157.172363,19.868143
113,-43,33,-0.0,62.745722,16.555139
119,-42,30,8.481973,158.831157,21.562607
104,-46,28,-0.855434,37.768785,8.707429
103,-46,27,-8.432975,48.97467,6.964802
112,-44,21,4.696813,68.269677,15.436031
118,-42,20,8.733333,145.196948,15.085445
111,-44,20,8.673856,163.925753,18.102608
102,-46,16,-0.0,88.099721,15.636219
110,-44,16,0.737126,60.618858,14.787623
117,-42,12,8.732073,171.521658,20.185948
125,-40,12,6.394478,143.066563,15.616916
124,-40,10,8.468529,124.984706,9.631009
123,-40,9,-0.0,102.033311,15.700175
116,-42,7,7.052666,152.221562,22.0
115,-42,5,8.697298,149.468976,17.65223
120,-41,4,8.733333,151.902624,14.098593
109,-44,1,8.733333,168.836171,21.191128
152,-26,5,-0.0,30.589864,4.903447
131,-36,1,8.733333,156.137653,16.141076
85,-22,-2,0.733333,67.994829,13.857434
