27, -36, -36, 0, 1
18, -41, -30, 0, 1
22, -39, -35, 0, 1
3, -45, -44, 0, 1
54, -26, -40, 0, 2
14, -42, -30, 0, 1
35, -33, -42, 0, 2
9, -43, -37, 0, 1
25, -38, -37, 0, 1
53, -26, -42, 0, 1
67, -33, -19, 0, 3
45, -30, -36, 0, 2
23, -39, -26, 0, 1
5, -45, -27, 0, 1
17, -41, -37, 0, 1
16, -41, -40, 0, 1
10, -43, -29, 0, 1
21, -39, -43, 0, 1
52, -27, -33, 0, 2
76, -18, -32, 0, 2
50, -28, -32, 0, 2
71, -23, -15, 0, 3
4, -45, -43, 0, 1
15, -42, -28, 0, 1
11, -43, -27, 0, 1
1, -46, -39, 0, 1
6, -44, -45, 0, 1
20, -39, -44, 0, 1
38, -32, -39, 0, 2
44, -30, -42, 0, 2
32, -34, -33, 0, 2
30, -35, -30, 0, 2
48, -29, -31, 0, 2
40, -31, -36, 0, 2
46, -30, -31, 0, 2
61, -41, -23, 0, 3
36, -33, -38, 0, 2
0, -46, -43, 0, 1
77, -16, -45, 0, 3
29, -36, -30, 0, 2
8, -43, -43, 0, 1
64, -39, -18, 0, 3
62, -41, -16, 0, 3
26, -36, -37, 0, 1
31, -34, -38, 0, 2
55, -26, -31, 0, 2
60, -44, -18, 0, 2
24, -38, -45, 0, 1
7, -44, -37, 0, 1
2, -45, -45, 0, 2
33, -34, -29, 0, 2
86, -20, -12, 0, 4
57, -25, -39, 0, 2
73, -20, -46, 0, 3
41, -31, -27, 0, 2
68, -33, -17, 0, 3
72, -19, -22, 0, 3
74, -20, -43, 0, 3
12, -42, -46, 0, 1
82, -29, -2, 0, 3
66, -35, -17, 0, 3
78, -16, -25, 0, 3
81, -30, -6, 0, 4
39, -31, -40, 0, 2
94, -10, -39, 0, 4
56, -26, -29, 0, 2
89, -12, -8, 0, 3
13, -42, -38, 0, 1
95, -10, -17, 0, 4
63, -40, -18, 0, 3
58, -25, -36, 0, 2
79, -16, -24, 0, 3
19, -40, -25, 0, 2
49, -28, -33, 0, 2
75, -19, -25, 0, 3
91, -7, -8, 0, 4
96, -8, -23, 0, 4
59, -45, -18, 0, 3
34, -34, -27, 0, 2
65, -37, -21, 0, 4
42, -30, -44, 0, 2
28, -36, -34, 0, 2
97, -6, -44, 0, 4
90, -10, -7, 0, 4
51, -28, -29, 0, 2
98, -6, -22, 0, 4
69, -30, -22, 0, 3
84, -23, -5, 0, 4
43, -30, -43, 0, 2
88, -12, -9, 0, 4
80, -38, -3, 0, 4
70, -26, -14, 0, 3
87, -13, -12, 0, 4
47, -29, -41, 0, 2
99, -5, -29, 0, 4
83, -24, -12, 0, 4
37, -33, -34, 0, 2
