135,-15,35,2.183085
125,-20,35,12.259548
126,-20,38,13.030421
103,-29,38,4.668226
22,-61,39,0.535675
21,-61,38,9.83611
63,-47,38,7.589356
74,-43,38,3.652875
46,-54,35,7.346466
4,-65,37,13.700638
3,-65,34,1.904802
11,-63,35,2.364196
16,-62,31,2.128295
15,-62,28,12.004207
35,-58,29,1.456977
6,-64,22,1.463106
66,-46,32,14.389371
73,-44,30,12.214272
58,-49,28,5.105786
62,-47,29,3.826427
71,-45,27,12.610759
34,-58,19,0.692571
47,-53,23,6.683793
61,-47,25,11.269006
88,-37,35,11.305936
95,-32,38,14.01016
92,-33,37,0.809252
10,-63,8,14.473328
2,-65,7,13.586879
27,-60,3,11.146987
